2026-02-20 13:31:12,876 | INFO | include.etl.extract_to_raw | Loading config from: /opt/airflow/include/config.yaml
2026-02-20 13:31:12,895 | INFO | include.etl.extract_to_raw | Extracting data from source API
2026-02-20 13:31:12,932 | INFO | include.etl.extract_to_raw | Loading config from: /opt/airflow/include/config.yaml
2026-02-20 13:31:12,949 | INFO | include.etl.extract_to_raw | Extracting data from source API
2026-02-20 13:31:14,713 | INFO | include.etl.extract_to_raw | Uploading raw data to Azure at rundate: 2026-02-19
2026-02-20 13:31:14,719 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 13:31:14,798 | INFO | include.etl.extract_to_raw | Uploading raw data to Azure at rundate: 2026-02-20
2026-02-20 13:31:14,805 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 13:31:15,856 | INFO | include.infra.azure_datalake | Uploaded DataFrame to raw/2026-02-20.parquet (182.43 KB)
2026-02-20 13:31:15,925 | INFO | include.infra.azure_datalake | Uploaded DataFrame to raw/2026-02-19.parquet (182.52 KB)
2026-02-20 13:31:17,502 | INFO | include.etl.raw_to_silver | Starting ETL Process - Raw to Silver Phase
2026-02-20 13:31:17,507 | INFO | include.etl.raw_to_silver | Reading raw data from Azure at rundate: 2026-02-20
2026-02-20 13:31:17,511 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 13:31:17,519 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-20.parquet...
2026-02-20 13:31:17,522 | INFO | include.etl.raw_to_silver | Starting ETL Process - Raw to Silver Phase
2026-02-20 13:31:17,526 | INFO | include.etl.raw_to_silver | Reading raw data from Azure at rundate: 2026-02-19
2026-02-20 13:31:17,529 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 13:31:17,537 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-19.parquet...
2026-02-20 13:31:19,291 | INFO | include.etl.raw_to_silver | Transforming raw data to silver format
2026-02-20 13:31:19,301 | INFO | include.etl.raw_to_silver | Loading silver data into staging database
2026-02-20 13:31:19,713 | INFO | include.etl.raw_to_silver | Transforming raw data to silver format
2026-02-20 13:31:19,721 | INFO | include.etl.raw_to_silver | Loading silver data into staging database
2026-02-20 20:33:50,032 | INFO | __main__ | Starting ETL Process - Raw to Silver Phase
2026-02-20 20:33:50,033 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 20:33:50,033 | INFO | __main__ | Reading raw data from Azure at rundate: 2026-02-19
2026-02-20 20:33:50,034 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-19.parquet...
2026-02-20 20:33:52,833 | INFO | __main__ | Transforming raw data to silver format
2026-02-20 20:33:52,846 | INFO | __main__ | Silver DataFrame head:    salary  ... processed_date
0       0  ...     2026-02-20
1       0  ...     2026-02-20
2       0  ...     2026-02-20
3     700  ...     2026-02-20
4       0  ...     2026-02-20

[5 rows x 4 columns]
2026-02-20 20:33:52,847 | INFO | __main__ | Loading silver data into staging database
2026-02-20 20:37:37,686 | INFO | __main__ | Starting ETL Process - Raw to Silver Phase
2026-02-20 20:37:37,686 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 20:37:37,687 | INFO | __main__ | Reading raw data from Azure at rundate: 2026-02-19
2026-02-20 20:37:37,688 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-19.parquet...
2026-02-20 20:37:40,995 | INFO | __main__ | Transforming raw data to silver format
2026-02-20 20:37:41,046 | INFO | __main__ | Loading silver data into staging database
2026-02-20 20:39:16,745 | INFO | __main__ | Starting ETL Process - Raw to Silver Phase
2026-02-20 20:39:16,746 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-20 20:39:16,747 | INFO | __main__ | Reading raw data from Azure at rundate: 2026-02-19
2026-02-20 20:39:16,747 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-19.parquet...
2026-02-20 20:39:19,655 | INFO | __main__ | Transforming raw data to silver format
2026-02-20 20:39:19,766 | INFO | __main__ | Loading silver data into staging database
2026-02-24 14:22:56,156 | INFO | include.etl.extract_to_raw | Loading config from: /opt/airflow/include/config.yaml
2026-02-24 14:22:56,161 | INFO | include.etl.extract_to_raw | Loading config from: /opt/airflow/include/config.yaml
2026-02-24 14:22:56,193 | INFO | include.etl.extract_to_raw | Extracting data from source API
2026-02-24 14:22:56,194 | INFO | include.etl.extract_to_raw | Extracting data from source API
2026-02-24 14:22:58,000 | INFO | include.etl.extract_to_raw | Uploading raw data to Azure at rundate: 2026-02-23
2026-02-24 14:22:58,008 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-24 14:22:58,160 | INFO | include.etl.extract_to_raw | Uploading raw data to Azure at rundate: 2026-02-20
2026-02-24 14:22:58,168 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-24 14:22:59,068 | INFO | include.infra.azure_datalake | Uploaded DataFrame to raw/2026-02-23.parquet (180.45 KB)
2026-02-24 14:22:59,467 | INFO | include.infra.azure_datalake | Uploaded DataFrame to raw/2026-02-20.parquet (180.43 KB)
2026-02-24 14:23:01,026 | INFO | include.etl.raw_to_silver | Starting ETL Process - Raw to Silver Phase
2026-02-24 14:23:01,031 | INFO | include.etl.raw_to_silver | Reading raw data from Azure at rundate: 2026-02-23
2026-02-24 14:23:01,035 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-24 14:23:01,051 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-23.parquet...
2026-02-24 14:23:01,055 | INFO | include.etl.raw_to_silver | Starting ETL Process - Raw to Silver Phase
2026-02-24 14:23:01,059 | INFO | include.etl.raw_to_silver | Reading raw data from Azure at rundate: 2026-02-20
2026-02-24 14:23:01,062 | INFO | include.infra.azure_datalake | Initializing ADLS Gen2 Client via Connection String for container: vietnamworks
2026-02-24 14:23:01,068 | INFO | include.infra.azure_datalake | Streaming DataFrame from abfs://vietnamworks/raw/2026-02-20.parquet...
2026-02-24 14:23:02,558 | INFO | include.etl.raw_to_silver | Transforming raw data to silver format
